feature A,feature B,feature C,feature D,label
-6.651,6.7934,0.68604,-7.5887,1
3.2704,6.9321,-1.0456,0.23447,0
-3.6012,-6.5389,10.5234,-0.48967,1
4.4069,10.9072,-4.5775,-4.4271,0
-2.0529,3.8385,-0.79544,-1.2138,1
-0.9607,2.6963,-3.1226,-1.3121,1
-3.518,2.8763,0.1548,-1.2086,1
2.5227,2.2369,2.7236,0.79438,0
3.946,6.8514,-1.5443,-0.5582,0
3.8117,10.1457,-4.0463,-4.5629,0
4.6361,-2.6611,2.8358,1.1991,0
4.9362,7.6046,-2.3429,-0.85302,0
1.7747,-6.4334,8.15,-0.89828,0
-1.7479,-5.823,5.8699,1.212,1
3.9433,2.5017,1.5215,0.903,0
-1.9177,11.6894,2.5454,-3.2763,0
4.3064,8.2068,-2.7824,-1.4336,0
-6.5084,8.7696,0.23191,-3.937,1
0.50225,0.65388,-1.1793,0.39998,1
0.7376,4.8525,-4.7986,-5.6659,1
-2.0285,3.8468,-0.63435,-1.175,1
4.0524,5.6802,-1.9693,0.026279,0
-3.6817,3.2239,-0.69347,-3.4004,1
5.0214,8.0764,-3.0515,-1.7155,0
4.0047,0.45937,1.3621,1.6181,0
1.7257,-4.4697,8.2219,-1.8073,0
3.1557,2.8908,0.59693,0.79825,0
-0.64326,2.4748,-2.9452,-1.0276,1
-2.456,-0.24418,1.4041,-0.45863,1
0.98296,3.4226,-3.9692,-1.7116,1
-1.2667,2.8183,-2.426,-1.8862,1
1.3562,3.2136,4.3465,0.78662,0
0.3292,-4.4552,4.5718,-0.9888,0
3.2403,-3.7082,5.2804,0.41291,0
-2.3221,-9.3304,9.233,-0.79871,1
-0.539,-5.167,3.4399,0.052141,1
-3.4605,2.6901,0.16165,-1.0224,1
-6.0598,9.2952,-0.43642,-6.3694,1
-0.89409,3.1991,-1.8219,-2.9452,1
-3.3582,-7.2404,11.4419,-0.57113,1
-1.2537,10.8803,1.931,-4.3237,0
-6.7387,6.9879,0.67833,-7.5887,1
0.65497,5.1815,1.0673,-0.42113,0
0.3292,-4.4552,4.5718,-0.9888,0
-2.5701,-6.8452,8.9999,2.1353,1
-3.5713,-12.4922,14.8881,-0.47027,1
3.0333,-2.5928,2.3183,0.303,0
-2.4198,-0.24418,0.70146,0.41809,1
0.77765,5.9781,1.1941,-0.3526,0
2.483,6.6155,-0.79287,-0.90863,0
3.5152,6.8224,-0.67377,-0.46898,0
3.4769,-0.15314,2.53,2.4495,0
3.1377,-4.1096,4.5701,0.98963,0
0.16358,-3.3584,1.3749,1.3569,1
0.33111,4.5731,2.057,-0.18967,0
4.8278,7.7598,-2.4491,-1.2216,0
2.6415,7.586,-0.28562,-1.6677,0
-0.46651,2.3383,-2.9812,-1.0431,1
-3.1158,-8.6289,10.4403,0.97153,1
-2.2623,12.1177,0.28846,-7.7581,0
4.6054,-4.0765,2.7587,0.31981,0
2.0139,6.1416,0.37929,0.56938,0
0.6005,1.9327,-3.2888,-0.32415,1
3.5761,9.7753,-3.9795,-3.4638,0
-5.637,8.1261,0.13081,-5.0142,1
1.1588,8.9331,-2.0807,-1.1272,0
-0.38388,-1.0471,8.0514,0.49567,0
-1.4174,-2.2535,1.518,0.61981,1
2.6213,5.7919,0.065686,-1.5759,0
4.8368,10.0132,-4.3239,-4.3276,0
0.96708,3.8426,-4.9314,-4.1323,1
-1.3274,9.498,2.4408,-5.2689,0
1.1811,8.3847,-2.0567,-0.90345,0
3.7791,2.5762,1.3098,0.5655,0
1.8592,3.2074,-0.15966,-0.26208,0
4.7965,6.9859,-1.9967,-0.35001,0
-3.5916,-6.2285,10.2389,-1.1543,1
1.2309,3.8923,-4.8277,-4.0069,1
-2.0759,10.8223,2.6439,-4.837,0
4.0405,0.51524,1.0279,1.106,0
0.33325,3.3108,-4.5081,-4.012,1
-1.7344,2.0175,7.7618,0.93532,0
2.4486,-6.3175,7.9632,0.20602,0
-2.5754,-5.6574,6.103,0.65214,1
-0.17296,-1.1816,1.3818,0.7336,1
1.8664,7.7763,-0.23849,-2.9634,0
-1.5572,-9.8808,8.1088,-1.0806,1
1.1558,6.4003,1.5506,0.6961,0
0.5195,-3.2633,3.0895,-0.9849,0
-1.9551,-6.9756,5.5383,-0.12889,1
-0.83121,0.039307,0.05369,-0.23105,1
5.032,8.2026,-2.6256,-1.0341,0
4.6765,-3.3895,3.4896,1.4771,0
-2.7028,1.6327,0.83598,-0.091393,1
